Basis,Line,Product,,Rate,Yield,Uptime
Net Quantity Produced,Line 32,1006537 B,0.5,67930.0,67930.0,
Net Quantity Produced,Line 32,1006537 B,0.51,67932.29032587567,67930.7926487748,
Net Quantity Produced,Line 32,1006537 B,0.52,67934.58065175136,67931.5852975496,
Net Quantity Produced,Line 32,1006537 B,0.53,67936.87097762706,67932.37794632438,
Net Quantity Produced,Line 32,1006537 B,0.54,67939.16130350271,67933.17059509919,
Net Quantity Produced,Line 32,1006537 B,0.55,67941.4516293784,67933.96324387398,
Net Quantity Produced,Line 32,1006537 B,0.56,67945.5171559328,67934.75589264877,
Net Quantity Produced,Line 32,1006537 B,0.57,67951.80168333561,67935.54854142357,
Net Quantity Produced,Line 32,1006537 B,0.58,67958.08621073843,67936.34119019836,
Net Quantity Produced,Line 32,1006537 B,0.59,67964.37073814122,67937.13383897315,
Net Quantity Produced,Line 32,1006537 B,0.6,67970.65526554405,67937.92648774797,
Net Quantity Produced,Line 32,1006537 B,0.61,67976.93979294688,67938.71913652275,
Net Quantity Produced,Line 32,1006537 B,0.62,67983.22432034968,67939.51178529755,
Net Quantity Produced,Line 32,1006537 B,0.63,67989.5088477525,67940.30443407234,
Net Quantity Produced,Line 32,1006537 B,0.64,67995.7933751553,67941.09708284713,
Net Quantity Produced,Line 32,1006537 B,0.65,68002.07790255813,67941.88973162194,
Net Quantity Produced,Line 32,1006537 B,0.66,68008.36242996094,67942.68238039674,
Net Quantity Produced,Line 32,1006537 B,0.67,68012.55211489614,67943.47502917153,
Net Quantity Produced,Line 32,1006537 B,0.68,68012.55211489614,67944.26767794632,
Net Quantity Produced,Line 32,1006537 B,0.69,68012.55211489614,67945.06032672113,
Net Quantity Produced,Line 32,1006537 B,0.7,68012.55211489614,67945.85297549592,
Net Quantity Produced,Line 32,1006537 B,0.71,68012.55211489614,67946.6456242707,
Net Quantity Produced,Line 32,1006537 B,0.72,68012.55211489614,67947.43827304551,
Net Quantity Produced,Line 32,1006537 B,0.73,68012.55211489614,67948.2309218203,
Net Quantity Produced,Line 32,1006537 B,0.74,68012.55211489614,67949.02357059509,
Net Quantity Produced,Line 32,1006537 B,0.75,68012.55211489614,67949.8162193699,
Net Quantity Produced,Line 32,1006537 B,0.76,68012.55211489614,68427.04949652102,
Net Quantity Produced,Line 32,1006537 B,0.77,68012.55211489614,68904.28277367215,
Net Quantity Produced,Line 32,1006537 B,0.78,68023.47068775761,69381.51605082328,
Net Quantity Produced,Line 32,1006537 B,0.79,68072.60426563415,69858.74932797441,
Net Quantity Produced,Line 32,1006537 B,0.8,68121.7378435107,70335.98260512555,
Net Quantity Produced,Line 32,1006537 B,0.81,68170.87142138723,70813.21588227668,
Net Quantity Produced,Line 32,1006537 B,0.82,68220.00499926378,71290.4491594278,
Net Quantity Produced,Line 32,1006537 B,0.83,68269.13857714033,71767.68243657894,
